label,year,month,mw,rate_per_mwh,schedule
LLH,2026,8,20,62,llh
HLH,2026,8,40,0,hlh_ex_sp
SP,2026,8,50,0,sp
Nebo,2026,10,20,0,atc
Nebo,2026,11,20,0,atc
Nebo,2026,12,20,0,atc
Nebo,2027,1,20,0,atc
Nebo,2027,2,20,0,atc
Nebo,2027,3,20,0,atc
Nebo,2027,4,20,0,atc
Nebo,2027,5,20,0,atc
Nebo,2027,6,20,0,atc
Nebo,2027,7,20,0,atc
Nebo,2027,8,20,0,atc
Nebo,2027,9,20,0,atc
Nebo,2027,10,20,0,atc
Nebo,2027,11,20,0,atc
Nebo,2027,12,20,0,atc
Nebo,2028,1,20,0,atc
Nebo,2028,2,20,0,atc
Nebo,2028,3,20,0,atc
Nebo,2028,4,20,0,atc
Nebo,2028,5,20,0,atc
Nebo,2028,6,20,0,atc
Nebo,2028,7,20,0,atc
Nebo,2028,8,20,0,atc
Nebo,2028,9,20,0,atc
Nebo,2028,10,20,0,atc
Nebo,2028,11,20,0,atc
Nebo,2028,12,20,0,atc
Nebo,2029,1,20,0,atc
Nebo,2029,2,20,0,atc
Nebo,2029,3,20,0,atc
Nebo,2029,4,20,0,atc
Nebo,2029,5,20,0,atc
Nebo,2029,6,20,0,atc
Nebo,2029,7,20,0,atc
Nebo,2029,8,20,0,atc
Nebo,2029,9,20,0,atc
Nebo,2029,10,20,0,atc
Nebo,2029,11,20,0,atc
Nebo,2029,12,20,0,atc
Nebo,2030,1,20,0,atc
Nebo,2030,2,20,0,atc
Nebo,2030,3,20,0,atc
Nebo,2030,4,20,0,atc
Nebo,2030,5,20,0,atc
Nebo,2030,6,20,0,atc
Nebo,2030,7,20,0,atc
Nebo,2030,8,20,0,atc
Nebo,2030,9,20,0,atc
Nebo,2030,10,20,0,atc
Nebo,2030,11,20,0,atc
Nebo,2030,12,20,0,atc
Nebo,2031,1,20,0,atc
Nebo,2031,2,20,0,atc
Nebo,2031,3,20,0,atc
Nebo,2031,4,20,0,atc
Nebo,2031,5,20,0,atc
Nebo,2031,6,20,0,atc
Nebo,2031,7,20,0,atc
Nebo,2031,8,20,0,atc
Nebo,2031,9,20,0,atc
Nebo,2031,10,20,0,atc
Nebo,2031,11,20,0,atc
Nebo,2031,12,20,0,atc
Nebo,2032,1,20,0,atc
Nebo,2032,2,20,0,atc
Nebo,2032,3,20,0,atc
Nebo,2032,4,20,0,atc
Nebo,2032,5,20,0,atc
Nebo,2032,6,20,0,atc
Nebo,2032,7,20,0,atc
Nebo,2032,8,20,0,atc
Nebo,2032,9,20,0,atc
Nebo,2032,10,20,0,atc
Nebo,2032,11,20,0,atc
Nebo,2032,12,20,0,atc
Nebo,2033,1,20,0,atc
Nebo,2033,2,20,0,atc
Nebo,2033,3,20,0,atc
Nebo,2033,4,20,0,atc
Nebo,2033,5,20,0,atc
Nebo,2033,6,20,0,atc
Nebo,2033,7,20,0,atc
Nebo,2033,8,20,0,atc
Nebo,2033,9,20,0,atc
Nebo,2033,10,20,0,atc
Nebo,2033,11,20,0,atc
Nebo,2033,12,20,0,atc
