date,hr,crsp,hunter,provo_riv,mr,pv_wind,veyo,olmsted
2026-08-24,1,857,0,106,1814,1880,3473,1413
2026-08-24,2,857,0,106,1814,1880,2391,1427
2026-08-24,3,857,0,106,1813,1880,3218,1457
2026-08-24,4,857,0,106,1809,1880,3496,1500
2026-08-24,5,857,0,106,1807,1880,4083,1504
2026-08-24,6,857,0,106,1814,1880,4056,1527
2026-08-24,7,857,0,106,1813,1880,3778,1531
2026-08-24,8,460,0,106,1813,0,3339,1554
2026-08-24,9,460,0,106,1812,0,1717,1524
2026-08-24,10,460,0,106,1812,0,422,1460
2026-08-24,11,460,0,106,1809,0,1398,1415
2026-08-24,12,460,0,106,1809,1880,351,1390
2026-08-24,13,460,0,106,1810,1880,52,1369
2026-08-24,14,857,0,106,1813,1880,67,1345
2026-08-24,15,857,0,106,1813,1880,479,1308
2026-08-24,16,857,0,211,1812,1880,909,1293
2026-08-24,17,857,0,211,1813,1880,1456,1308
2026-08-24,18,857,0,211,1814,1880,3171,1345
2026-08-24,19,857,0,211,1813,1880,3912,1347
2026-08-24,20,857,0,211,1813,1880,1693,1364
2026-08-24,21,857,0,211,1809,1880,836,1443
2026-08-24,22,857,0,106,1811,1880,473,1517
2026-08-24,23,857,0,106,1813,1880,630,1553
2026-08-24,24,857,0,211,1812,1880,886,1589
2026-08-25,1,857,0,106,1811,1880,675,1635
2026-08-25,2,857,0,106,1810,1880,3156,1690
2026-08-25,3,857,0,106,1808,1880,4211,1726
2026-08-25,4,857,0,106,1806,1880,3655,1739
2026-08-25,5,857,0,106,1805,1880,3026,1739
2026-08-25,6,857,0,106,1810,1880,3279,1739
2026-08-25,7,857,0,106,1811,1880,2129,1748
2026-08-25,8,460,0,106,1810,0,1519,1778
2026-08-25,9,460,0,106,1809,0,1364,759
2026-08-25,10,460,0,106,1808,0,638,1011
2026-08-25,11,460,0,106,1808,0,281,984
2026-08-25,12,460,0,106,1806,1880,6,960
2026-08-25,13,460,0,106,1806,1880,17,914
2026-08-25,14,857,0,106,1812,1880,128,882
2026-08-25,15,857,0,106,1812,1880,114,848
2026-08-25,16,857,0,211,1813,1880,10,909
2026-08-25,17,857,0,211,1814,1880,107,1309
2026-08-25,18,857,0,211,1815,1880,186,1364
2026-08-25,19,857,0,211,1812,1880,479,1362
2026-08-25,20,857,1113,211,1810,1880,2115,1383
2026-08-25,21,857,1423,211,1806,1880,1456,1426
2026-08-25,22,857,1423,106,1807,1880,50,1437
2026-08-25,23,857,1423,106,1807,1880,678,1487
2026-08-25,24,857,1423,211,1808,1880,189,1500
2026-08-26,1,857,647,106,1809,1880,3,1475
2026-08-26,2,857,310,106,1808,1880,66,1465
2026-08-26,3,857,0,106,1805,1880,83,1516
2026-08-26,4,857,0,106,1805,1880,433,1527
2026-08-26,5,857,0,106,1803,1880,422,1533
2026-08-26,6,857,0,106,1804,1880,758,1533
2026-08-26,7,857,1113,106,1803,1880,921,1535
2026-08-26,8,460,1087,106,1807,0,1159,1537
2026-08-26,9,460,0,106,1807,0,789,1477
2026-08-26,10,460,0,106,1807,0,865,1426
2026-08-26,11,460,0,106,1805,0,751,1410
2026-08-26,12,460,0,106,1804,1880,1257,1380
2026-08-26,13,460,1113,106,1808,1880,512,1344
2026-08-26,14,857,1423,106,1811,1880,205,1314
2026-08-26,15,857,1423,106,1810,1880,150,1306
2026-08-26,16,857,1423,211,1811,1880,21,1292
2026-08-26,17,857,1423,211,1812,1880,4,1268
2026-08-26,18,857,1423,211,1812,1880,14,1249
2026-08-26,19,857,1423,211,1813,1880,900,1249
2026-08-26,20,857,1423,211,1812,1880,1350,1270
2026-08-26,21,857,1423,211,1807,1880,1355,1328
2026-08-26,22,857,1423,106,1805,1880,1068,1426
2026-08-26,23,857,1423,106,1806,1880,1774,1454
2026-08-26,24,857,1423,211,1805,1880,796,1527
2026-08-27,1,857,1423,106,1803,1880,730,1548
2026-08-27,2,857,1682,106,1803,1880,1090,1557
2026-08-27,3,857,569,106,1802,1880,2026,1570
2026-08-27,4,857,0,106,1801,1880,2912,1584
2026-08-27,5,857,0,106,1801,1880,2856,1605
2026-08-27,6,857,724,106,1798,1880,3416,1631
2026-08-27,7,857,1682,106,1797,1880,4067,1622
2026-08-27,8,460,569,106,1801,0,3871,1609
2026-08-27,9,460,0,106,1801,0,2135,1596
2026-08-27,10,460,0,106,1801,0,1432,1566
2026-08-27,11,460,0,106,1799,0,1917,1506
2026-08-27,12,460,569,106,1798,1880,4172,1465
2026-08-27,13,460,1682,106,1803,1880,1785,1433
2026-08-27,14,857,1682,106,1804,1880,1633,1376
2026-08-27,15,857,1682,106,1804,1880,1556,1348
2026-08-27,16,857,1682,211,1803,1880,1896,1344
2026-08-27,17,857,1682,211,1803,1880,1995,1345
2026-08-27,18,857,1682,211,1801,1880,1172,339
2026-08-27,19,857,1682,211,1800,1880,1612,0
2026-08-27,20,857,1682,211,1800,1880,535,0
2026-08-27,21,857,1682,211,1801,1880,1855,0
2026-08-27,22,857,1682,106,1799,1880,438,957
2026-08-27,23,857,1682,106,1796,1880,2941,1284
2026-08-27,24,857,1682,211,1797,1880,3505,1380
2026-08-28,1,857,1682,106,1797,1880,3457,1490
2026-08-28,2,857,569,106,1796,1880,3549,1546
2026-08-28,3,857,0,106,1795,1880,4008,1560
2026-08-28,4,857,0,106,1799,1880,3944,1592
2026-08-28,5,857,0,106,1799,1880,1987,1587
2026-08-28,6,857,0,106,1798,1880,2103,1614
2026-08-28,7,857,0,106,1799,1880,2305,1602
2026-08-28,8,460,0,106,1799,0,2661,1610
2026-08-28,9,460,0,106,1798,0,432,1621
2026-08-28,10,460,0,106,1798,0,14,1561
2026-08-28,11,460,0,106,1799,0,206,1515
2026-08-28,12,460,0,106,1795,1880,172,1449
2026-08-28,13,460,0,106,1796,1880,16,1393
2026-08-28,14,572,0,106,1796,1880,0,1340
2026-08-28,15,857,0,106,1801,1880,0,1324
2026-08-28,16,857,0,106,1802,1880,0,1323
2026-08-28,17,857,0,211,1803,1880,20,1318
2026-08-28,18,857,1113,211,1801,1880,47,1341
