start_date,end_date,break_name
2018-06-01,2018-08-19,Summer 2018
2018-10-18,2018-10-19,Fall Break 2018
2018-11-21,2018-11-23,Thanksgiving Break 2018
2018-12-21,2019-01-04,Winter Break 2018-19
2019-03-18,2019-03-22,Spring Break 2019
2019-05-24,2019-08-19,Summer 2019
2019-10-17,2019-10-18,Fall Break 2019
2019-11-27,2019-11-29,Thanksgiving Break 2019
2019-12-23,2020-01-03,Winter Break 2019-20
2020-03-13,2020-05-22,COVID School Closure
2020-05-22,2020-08-17,Summer 2020
2020-11-25,2020-11-27,Thanksgiving Break 2020
2020-12-21,2021-01-04,Winter Break 2020-21
2021-03-22,2021-03-26,Spring Break 2021
2021-05-27,2021-08-16,Summer 2021
2021-10-14,2021-10-15,Fall Break 2021
2021-11-24,2021-11-26,Thanksgiving Break 2021
2021-12-20,2022-01-03,Winter Break 2021-22
2022-03-21,2022-03-25,Spring Break 2022
2022-05-27,2022-08-22,Summer 2022
2022-10-20,2022-10-21,Fall Break 2022
2022-11-23,2022-11-25,Thanksgiving Break 2022
2022-12-19,2023-01-03,Winter Break 2022-23
2023-03-20,2023-03-24,Spring Break 2023
2023-05-26,2023-08-21,Summer 2023
2023-10-19,2023-10-20,Fall Break 2023
2023-11-22,2023-11-24,Thanksgiving Break 2023
2023-12-18,2024-01-05,Winter Break 2023-24
2024-03-18,2024-03-22,Spring Break 2024
2024-05-24,2024-08-19,Summer 2024
2024-10-17,2024-10-18,Fall Break 2024
2024-11-27,2024-11-29,Thanksgiving Break 2024
2024-12-23,2025-01-03,Winter Break 2024-25
2025-03-17,2025-03-21,Spring Break 2025
2025-05-23,2025-08-18,Summer 2025
2025-10-16,2025-10-17,Fall Break 2025
2025-11-26,2025-11-28,Thanksgiving Break 2025
2025-12-22,2026-01-02,Winter Break 2025-26
2026-03-16,2026-03-20,Spring Break 2026
2026-05-22,2026-08-17,Summer 2026
